departamento;provincia;ubigeo;pob2017;pob2020;pobreza;desempleo_n;ingreso_porc;nosec25;nosec25_porc;p65amas;p65amas_porc;p17amenos;p17amenos_porc;pmayorde5disc;pmayorde5disc_porc;hogarmonop;pobind;esp2dalengua;esp2dalengua_porc;vivprecaria;hacinam;carret_asfalt;adultos_hta_freq;adultos_hyperchol_freq;adultos_ecv_freq;adultos_asma_freq;adultos_epoc_freq;tabaco;cancer_c;cancer_d;vih;obes_imc30_freq;adultos_diabetes_freq;densidadpob;mortalidad_iras;mortalidad_irasx100000;n_camas_hospitalarias;n_camas_uci;n_medicos;n_ventiladores;gastoregsalud_porc;gastoxcapitasalud;labcovid;n_emergencia;desempleo_porc;hogarmonop_porc;hacinam_porc;hta_porc;coles_porc;ecv_porc;asma_porc;epoc_porc;obesidad_porc;diabetes_porc;cancer_n;cancer_porc;camas_hospix100mil;camas_ucix100mil;medicosx100mil;ventiladoresx100mil;labcovidx100mil;emergenciax100mil
ANCASH;PALLASCA;215;23491;24371;9;16690;395;8264;0;3788;0;9744;0;1910;0;3886;0;659;0;1;2694;1;60;202;3;38;249;16;2;18;0;1662;22;11;3;13;55;0;20;0;0;45;0;3;1;0;0;0;0;0;0;0;0;0;20;0;234;0;85;11;0;13
ANCASH;POMABAMBA;216;24794;26675;58;19138;387;8980;0;3666;0;10523;0;2285;0;3921;1;19597;1;1;3326;0;122;284;2;37;212;16;14;114;14;3219;126;8;3;12;54;0;24;0;0;45;0;2;1;0;0;0;0;0;0;0;0;0;128;0;218;0;97;11;0;8
ANCASH;RECUAY;217;17185;18085;126;11818;542;5127;0;3637;0;5364;0;2326;0;3757;1;6994;0;1;2383;1;39;295;3;9;228;16;16;79;0;2003;16;7;2;12;8;0;23;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;95;0;47;0;134;11;0;6
ANCASH;SANTA;218;435807;474053;163;241710;1067;68015;0;58554;0;135100;0;54594;0;113551;0;14415;0;0;54638;0;1668;5754;282;1027;1388;16;531;5806;398;14330;2299;109;29;7;716;28;355;32;0;45;0;4;1;0;0;0;0;0;0;0;0;0;6337;0;164;6;81;11;0;1
ANCASH;SIHUAS;219;26971;28630;20;20698;309;9401;0;4136;0;11180;0;2422;0;4126;0;10293;0;1;3416;0;117;173;8;39;101;16;8;233;17;2297;25;19;1;4;64;0;21;0;0;45;0;2;1;0;0;0;0;0;0;0;0;0;241;0;237;0;78;11;0;7
ANCASH;YUNGAY;220;50841;55769;69;34102;398;20158;0;7377;0;18918;0;4794;0;7224;1;35057;1;1;7204;0;142;437;9;59;896;16;24;140;0;2384;64;184;11;22;79;0;19;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;164;0;155;0;37;11;0;2
APURIMAC;ABANCAY;301;110520;120116;134;63463;771;20628;0;12672;0;36671;0;11157;0;22324;1;55051;0;0;15820;0;479;4434;163;310;601;13;284;1065;53;9641;348;32;18;16;377;27;177;24;1;142;1;5;1;0;0;0;0;0;0;0;0;0;1349;0;341;24;160;25;1;5
APURIMAC;ANDAHUAYLAS;302;142477;150758;78;89694;501;42386;0;17783;0;53029;0;15005;0;21910;1;98904;1;1;20181;0;423;2560;89;135;913;13;128;1008;106;7284;203;36;11;8;330;16;175;4;1;142;1;13;1;0;0;0;0;0;0;0;0;0;1136;0;232;11;123;25;1;9
APURIMAC;ANTABAMBA;303;11310;11781;99;7795;436;3557;0;2068;0;3851;0;1516;0;2065;1;8497;1;1;1798;0;77;308;2;12;65;13;17;57;28;814;23;4;0;0;17;0;13;0;1;142;1;1;1;0;0;0;0;0;0;0;0;0;74;0;150;0;115;25;9;9
APURIMAC;AYMARAES;304;24307;24570;81;15850;414;8457;0;5090;0;7898;0;3001;0;3495;1;16971;1;1;3665;0;49;1830;20;79;115;13;18;40;0;3198;37;6;1;4;21;0;27;0;1;142;1;0;1;0;0;0;0;0;0;0;0;0;58;0;86;0;111;25;4;0
